task_id,solvability,plausibility,diversity,duration,error
32_wilderness_creature_hunt_v2,YES,Good,Bad,13.5,""
33_resource_collection_v1,YES,Bad,Bad,11.8,""
33_resource_collection_v2,YES,Good,Good,14.4,""
34_enchanted_staff_workshop_v1,YES,Good,Bad,12.7,""
34_enchanted_staff_workshop_v2,YES,Good,Good,15.4,""
35_combat_training_v1,YES,Good,Bad,13.9,""
35_combat_training_v2,YES,Good,Bad,16.4,""
36_elite_skeleton_hunt_v1,YES,Bad,Bad,14.4,""
36_elite_skeleton_hunt_v2,YES,Good,Good,13.0,""
37_survival_gathering_v1,YES,Bad,Bad,9.5,""
37_survival_gathering_v2,YES,Bad,Bad,13.4,""
38_trade_crafting_v1,YES,Good,Bad,13.7,""
38_trade_crafting_v2,YES,Bad,Bad,15.3,""
39_farming_harvest_v1,YES,Bad,Bad,14.4,""
39_farming_harvest_v2,YES,Bad,Bad,11.9,""
40_healing_supplies_v1,YES,Bad,Bad,13.1,""
40_healing_supplies_v2,YES,Good,Bad,13.3,""
41_tool_production_v1,YES,Good,Bad,11.8,""
41_tool_production_v2,YES,Good,Good,14.9,""
42_skill_training_v1,YES,Bad,Bad,13.8,""
42_skill_training_v2,YES,Good,Bad,12.7,""
43_forest_cleanup_v1,YES,Bad,Bad,11.2,""
43_forest_cleanup_v2,YES,Bad,Bad,13.3,""
44_messenger_run_v1,YES,Bad,Bad,13.0,""
44_messenger_run_v2,YES,Good,Bad,15.6,""
45_caravan_escort_v1,YES,Good,Good,13.4,""
45_caravan_escort_v2,YES,Good,Good,14.0,""
46_mining_expedition_v1,YES,Bad,Bad,12.6,""
46_mining_expedition_v2,YES,Good,Good,11.4,""
47_magic_staff_forge_v1,YES,Bad,Bad,11.8,""
47_magic_staff_forge_v2,YES,Good,Good,12.8,""
48_cross_region_expedition_v1,YES,Bad,Bad,11.8,""
48_cross_region_expedition_v2,YES,Good,Good,12.1,""
49_jewelry_workshop_v1,YES,Bad,Bad,13.5,""
49_jewelry_workshop_v2,YES,Good,Good,12.8,""
50_combat_battalion_v1,YES,Good,Bad,12.5,""
50_combat_battalion_v2,YES,Good,Bad,13.6,""
51_survival_challenge_v1,YES,Bad,Bad,13.1,""
51_survival_challenge_v2,YES,Good,Good,13.4,""
52_smithy_operation_v1,YES,Bad,Bad,16.3,""
52_smithy_operation_v2,YES,Good,Good,12.2,""
53_culinary_expedition_v1,YES,Bad,Bad,13.4,""
53_culinary_expedition_v2,YES,Good,Good,13.4,""
54_archery_academy_v1,YES,Good,Bad,13.2,""
54_archery_academy_v2,YES,Good,Good,14.2,""
55_boss_raid_v1,YES,Good,Bad,12.9,""
55_boss_raid_v2,YES,Good,Bad,13.4,""
56_cross_region_trading_network_v1,YES,Good,Bad,13.2,""
56_cross_region_trading_network_v2,YES,Good,Good,14.0,""
57_grand_jewelry_expedition_v1,YES,Bad,Bad,13.1,""
57_grand_jewelry_expedition_v2,YES,Bad,Bad,14.7,""
58_harvest_festival_v1,YES,Good,Bad,14.0,""
58_harvest_festival_v2,YES,Good,Good,12.4,""
59_elite_merchant_guild_v1,YES,Good,Good,13.8,""
59_elite_merchant_guild_v2,YES,Good,Bad,12.2,""
60_mining_operation_v1,YES,Bad,Bad,12.8,""
60_mining_operation_v2,YES,Good,Good,14.8,""
61_royal_banquet_v1,YES,Good,Bad,13.0,""
61_royal_banquet_v2,YES,Good,Good,12.9,""
62_weaponsmith_consortium_v1,YES,Good,Bad,13.4,""
62_weaponsmith_consortium_v2,YES,Good,Good,15.4,""
63_jewelry_crafting_v1,YES,Bad,Bad,13.8,""
63_jewelry_crafting_v2,YES,Good,Good,13.7,""
64_ice_expedition_v1,YES,Good,Good,12.6,""
64_ice_expedition_v2,YES,Good,Good,12.0,""
65_cooking_guild_v1,YES,Bad,Bad,11.0,""
65_cooking_guild_v2,YES,Good,Good,14.2,""
66_archery_production_v1,NO,Bad,Bad,16.6,""
66_archery_production_v2,YES,Bad,Good,15.2,""
67_resource_caravan_v1,YES,Good,Good,14.5,""
67_resource_caravan_v2,YES,Good,Good,11.1,""
68_tool_production_v1,YES,Bad,Bad,16.1,""
68_tool_production_v2,YES,Good,Good,14.0,""
69_legendary_equipment_forge_v1,NO,Good,Good,17.8,""
69_legendary_equipment_forge_v2,YES,Good,Good,18.4,""
70_dungeon_expedition_v1,YES,Good,Good,14.0,""
70_dungeon_expedition_v2,YES,Good,Good,13.8,""
71_supply_network_v1,YES,Bad,Bad,12.2,""
71_supply_network_v2,YES,Good,Bad,13.3,""
72_fortress_defense_v1,YES,Bad,Bad,11.7,""
72_fortress_defense_v2,YES,Good,Bad,13.3,""
73_biome_expedition_v1,YES,Bad,Good,13.2,""
73_biome_expedition_v2,YES,Good,Good,15.4,""
74_guild_equipment_v1,YES,Bad,Bad,14.2,""
74_guild_equipment_v2,YES,Good,Good,14.1,""
75_relief_convoy_v1,YES,Good,Good,13.7,""
75_relief_convoy_v2,YES,Good,Good,12.9,""
76_elemental_bosses_v1,YES,Good,Bad,13.9,""
76_elemental_bosses_v2,NO,Good,Bad,15.2,""
77_harbor_defense_v1,YES,Good,Good,12.1,""
77_harbor_defense_v2,YES,Good,Good,15.6,""
78_trading_network_v1,YES,Bad,Bad,13.4,""
78_trading_network_v2,YES,Good,Good,13.8,""
79_dragon_hunt_v1,YES,Bad,Bad,13.7,""
79_dragon_hunt_v2,NO,Good,Bad,11.8,""
80_festival_preparation_v1,NO,Bad,Bad,13.6,""
80_festival_preparation_v2,NO,Good,Good,11.3,""
81_elemental_grid_v1,YES,Bad,Bad,14.8,""
81_elemental_grid_v2,YES,Good,Good,16.2,""
82_evacuation_v1,NO,Good,Bad,15.8,""
82_evacuation_v2,YES,Good,Good,13.3,""
83_elemental_ritual_v1,YES,Bad,Bad,12.5,""
83_elemental_ritual_v2,YES,Good,Good,22.4,""
84_tunnel_expedition_v1,YES,Good,Good,21.0,""
84_tunnel_expedition_v2,YES,Good,Good,20.1,""
85_ice_convoy_v1,YES,Good,Good,22.9,""
85_ice_convoy_v2,YES,Good,Good,21.2,""
86_forge_vanguard_v1,YES,Bad,Bad,14.3,""
86_forge_vanguard_v2,YES,Good,Good,17.5,""
87_canal_restoration_v1,YES,Good,Good,15.8,""
87_canal_restoration_v2,YES,Good,Good,16.6,""
88_war_council_v1,YES,Good,Bad,17.1,""
88_war_council_v2,YES,Good,Bad,15.6,""
89_beacon_calibration_v1,YES,Bad,Bad,14.5,""
89_beacon_calibration_v2,YES,Good,Good,16.3,""
90_barrier_reboot_v1,YES,Good,Good,12.1,""
90_barrier_reboot_v2,YES,Good,Good,13.1,""
91_royal_tournament_v1,YES,Good,Bad,12.1,""
91_royal_tournament_v2,YES,Good,Bad,14.7,""
92_trade_network_v1,YES,Bad,Bad,14.4,""
92_trade_network_v2,YES,Good,Good,15.1,""
93_fortress_construction_v1,YES,Good,Good,13.1,""
93_fortress_construction_v2,YES,Good,Good,15.9,""
94_maritime_trading_v1,NO,Bad,Bad,13.2,""
94_maritime_trading_v2,NO,Good,Good,18.8,""
95_ocean_expedition_v1,YES,Good,Good,12.3,""
95_ocean_expedition_v2,NO,Good,Good,15.6,""
96_mountain_rescue_v1,YES,Bad,Good,13.3,""
96_mountain_rescue_v2,YES,Good,Good,12.9,""
97_agricultural_empire_v1,YES,Bad,Bad,11.6,""
97_agricultural_empire_v2,YES,Bad,Bad,12.3,""
98_mining_conglomerate_v1,YES,Bad,Bad,13.5,""
98_mining_conglomerate_v2,YES,Good,Good,15.2,""
99_kingdom_festival_v1,YES,Good,Good,13.6,""
99_kingdom_festival_v2,YES,Good,Good,14.2,""
